name,star,comment,class,address,latitude,longitude,bus_count,department_store_count,drink_count,hospital_count,movie_theater_count,MRT_count,night_market_count,park_count,school_count,sports_facilities_count,train_count
好了啦紅茶冰-土城學府店,0.0,0,冰品飲料店,新北市土城區學府路一段201號,24.9846544,121.4518415,72,2,65,3,1,1,0,25,4,12,0
格子杯杯 鮮果茶飲料店 現烤鮮奶鬆餅,4.8,37,珍珠奶茶,新北市土城區裕民路92巷20號,24.9863604,121.4497788,60,2,64,2,1,1,0,15,3,12,0
"笠茗茶葉 雞蛋批發,零售",5.0,2,茶葉店,新北市土城區中央路一段50號,24.9899003,121.4476196,47,0,66,2,0,1,0,16,4,6,0
果珍飲 Drinks,4.7,43,無酒精飲料店,新北市土城區中正路67巷9號,24.9759736,121.4444223,52,4,33,2,1,1,0,19,4,1,0
市民小站飲料專賣店,4.2,18,無酒精飲料店,新北市土城區三民路5號,24.9631593,121.4204559,26,0,14,0,0,1,0,9,1,4,0
自煉青草茶(一年四季苦茶青草茶都有賣),5.0,3,冰品飲料店,新北市土城區延和路108巷2弄1號,24.9893723,121.4672255,71,1,51,0,0,0,0,12,3,5,0
好了啦-土城延吉店,4.3,23,冰品飲料店,新北市土城區延吉街174號,24.9853222,121.4681996,57,0,47,0,0,0,0,17,3,3,0
沁意冰店,4.6,10,冰品飲料店,新北市土城區延吉街112號,24.9861775,121.4701168,44,0,43,0,0,0,0,11,3,2,0
上林大碗公自助冰城,3.2,44,冰品飲料店,新北市土城區延吉街204號,24.9850863,121.4676053,59,1,50,0,0,0,0,16,3,3,0
岑林綠豆沙土城延吉店,4.4,14,冰品飲料店,新北市土城區延吉街179號,24.9856516,121.4694446,47,0,43,0,0,0,0,13,3,2,0
絲拍客粉條雪花冰品店,3.6,262,冰品飲料店,新北市土城區延平街75號,24.9931648,121.4675741,67,2,58,0,0,0,0,14,3,7,0
茶美茶 700cc專業茶飲,2.0,2,冰品飲料店,新北市土城區峰廷街42號號,24.9863636,121.4693323,46,0,43,0,0,0,0,11,3,2,0
故鄉大冰雹自助冰,4.5,11,冰品飲料店,新北市土城區延吉街196號,24.9850515,121.4676425,58,1,50,0,0,0,0,16,3,3,0
珍煮丹 土城海山店,3.1,91,珍珠奶茶,新北市土城區裕民路85號1樓,24.9873527,121.4501846,64,1,72,2,0,1,0,17,4,13,0
珍好喝健康果汁飲品,4.2,25,果汁,新北市土城區海山路26號,24.9873154,121.449117,59,0,67,2,0,1,0,17,4,9,0
延吉街調茶棧,4.3,29,冰品飲料店,新北市土城區延吉街221號,24.9851844,121.4683156,57,0,47,0,0,0,0,16,3,3,0
