name,star,comment,class,address,latitude,longitude,school_counts,drink_counts,train_counts,bus_counts,park_counts,night_market_counts,sports_facilities_counts,mrt_counts,movie_theater_counts,hospital_counts,district,neighborhood,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,行政區_x,平勳人流,行政區_y,刊登平均,成交平均
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445,4,42,0,71,9,0,0,0,0,2,三峽區,中正里,新北市,中和區,中正里,1079.0,658102.0,610.0,403.0,206.0,781.0,736.57,120.77,三峽區,2038.200813195466,三峽區,1071.0,1059.0
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445,4,42,0,71,9,0,0,0,0,2,三峽區,中正里,新北市,土城區,中正里,1027.0,692695.0,674.0,431.0,205.0,871.0,794.81,117.84,三峽區,2038.200813195466,三峽區,1071.0,1059.0
奶霸Milk Bar-鍋煮奶茶創始店 三峽飲料 三峽飲料推薦 三峽手搖飲 三峽咖啡 三峽下午茶,5.0,24,冰品飲料店,新北市三峽區光明路96號,24.9282042,121.3757325,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,台北市,松山區,介壽里,1457.0,1989194.0,1365.0,762.0,279.0,1574.0,2176.72,159.44,三峽區,2038.200813195466,三峽區,1071.0,1059.0
奶霸Milk Bar-鍋煮奶茶創始店 三峽飲料 三峽飲料推薦 三峽手搖飲 三峽咖啡 三峽下午茶,5.0,24,冰品飲料店,新北市三峽區光明路96號,24.9282042,121.3757325,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,三重區,介壽里,334.0,201753.0,604.0,385.0,173.0,676.0,738.9,122.32,三峽區,2038.200813195466,三峽區,1071.0,1059.0
奶霸Milk Bar-鍋煮奶茶創始店 三峽飲料 三峽飲料推薦 三峽手搖飲 三峽咖啡 三峽下午茶,5.0,24,冰品飲料店,新北市三峽區光明路96號,24.9282042,121.3757325,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,板橋區,介壽里,880.0,646016.0,734.0,460.0,222.0,989.0,814.97,111.01,三峽區,2038.200813195466,三峽區,1071.0,1059.0
奶霸Milk Bar-鍋煮奶茶創始店 三峽飲料 三峽飲料推薦 三峽手搖飲 三峽咖啡 三峽下午茶,5.0,24,冰品飲料店,新北市三峽區光明路96號,24.9282042,121.3757325,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,三峽區,介壽里,1717.0,866095.0,504.0,361.0,188.0,633.0,741.9,147.08,三峽區,2038.200813195466,三峽區,1071.0,1059.0
咕茶,4.9,121,冰品飲料店,新北市三峽區光明路100之1號,24.9281741,121.3760056,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,台北市,松山區,介壽里,1457.0,1989194.0,1365.0,762.0,279.0,1574.0,2176.72,159.44,三峽區,2038.200813195466,三峽區,1071.0,1059.0
咕茶,4.9,121,冰品飲料店,新北市三峽區光明路100之1號,24.9281741,121.3760056,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,三重區,介壽里,334.0,201753.0,604.0,385.0,173.0,676.0,738.9,122.32,三峽區,2038.200813195466,三峽區,1071.0,1059.0
咕茶,4.9,121,冰品飲料店,新北市三峽區光明路100之1號,24.9281741,121.3760056,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,板橋區,介壽里,880.0,646016.0,734.0,460.0,222.0,989.0,814.97,111.01,三峽區,2038.200813195466,三峽區,1071.0,1059.0
咕茶,4.9,121,冰品飲料店,新北市三峽區光明路100之1號,24.9281741,121.3760056,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,三峽區,介壽里,1717.0,866095.0,504.0,361.0,188.0,633.0,741.9,147.08,三峽區,2038.200813195466,三峽區,1071.0,1059.0
